MUNIC_RES;name_muni;mes_ano;n_casos
230850;Mombaça;mai/24;67
230850;Mombaça;jun/24;54
231140;Quixeramobim;jan/23;51
230850;Mombaça;abr/24;50
231140;Quixeramobim;ago/23;48
230850;Mombaça;jul/24;47
230730;Juazeiro do Norte;abr/23;45
230850;Mombaça;abr/23;45
231140;Quixeramobim;jul/23;43
230850;Mombaça;mar/24;42
230850;Mombaça;jun/23;38
230850;Mombaça;ago/24;38
231140;Quixeramobim;dez/23;38
230440;Fortaleza;mai/23;36
230850;Mombaça;ago/23;35
230850;Mombaça;out/23;35
231140;Quixeramobim;out/23;32
231140;Quixeramobim;fev/23;31
231140;Quixeramobim;set/23;31
230850;Mombaça;set/23;30
230850;Mombaça;nov/23;30
231050;Pedra Branca;jul/24;30
230440;Fortaleza;abr/23;29
230850;Mombaça;mai/23;29
231050;Pedra Branca;jun/23;29
231140;Quixeramobim;jan/24;29
230540;Icó;abr/23;28
230540;Icó;mai/23;28
231050;Pedra Branca;jun/24;28
230690;Jaguaribe;ago/24;27
231140;Quixeramobim;jun/23;27
230850;Mombaça;nov/24;26
231140;Quixeramobim;nov/23;26
230440;Fortaleza;jun/23;25
230540;Icó;mar/23;24
230340;Carnaubal;abr/23;23
230730;Juazeiro do Norte;jul/23;23
231050;Pedra Branca;abr/23;23
231050;Pedra Branca;mai/24;23
230690;Jaguaribe;jun/23;22
231050;Pedra Branca;abr/24;22
231140;Quixeramobim;mar/23;22
230440;Fortaleza;mai/24;21
230690;Jaguaribe;set/23;21
230850;Mombaça;fev/24;21
230850;Mombaça;jul/23;21
230850;Mombaça;out/24;21
231050;Pedra Branca;jan/25;21
231050;Pedra Branca;ago/23;21
231050;Pedra Branca;set/23;21
231050;Pedra Branca;out/24;21
231050;Pedra Branca;nov/23;21
230690;Jaguaribe;mai/23;20
230690;Jaguaribe;dez/23;20
231050;Pedra Branca;mar/25;20
231050;Pedra Branca;mai/23;20
231050;Pedra Branca;jul/23;20
230690;Jaguaribe;abr/24;19
