Ano,Trimestre,Cidade,Tipo de Imóvel,Material Utilizado,Quantidade (m³),Valor Material (R$),Área Construída (m²)
2019,Q1,Cidade A,Residencial,Barra Metal,23,17549,89
2019,Q1,Cidade A,Residencial,Madeira,52,6500,59
2019,Q1,Cidade A,Residencial,Pedra Britada,50,33800,93
2019,Q1,Cidade A,Residencial,Fio Algodão,10,7100,157
2019,Q1,Cidade A,Residencial,Cimento,79,76235,143
2019,Q1,Cidade A,Residencial,Tecido,44,15576,70
2019,Q1,Cidade A,Residencial,Papel,98,33320,199
2019,Q1,Cidade A,Residencial,Poliéster,58,13746,79
2019,Q1,Cidade A,Residencial,Couro,91,53144,84
2019,Q1,Cidade A,Residencial,Areia,47,38305,65
2019,Q1,Cidade A,Comercial,Barra Metal,77,71148,117
2019,Q1,Cidade A,Comercial,Madeira,52,9568,103
2019,Q1,Cidade A,Comercial,Pedra Britada,40,7480,55
2019,Q1,Cidade A,Comercial,Fio Algodão,59,45666,88
2019,Q1,Cidade A,Comercial,Cimento,33,29238,67
2019,Q1,Cidade A,Comercial,Tecido,69,27669,143
2019,Q1,Cidade A,Comercial,Papel,19,4066,169
2019,Q1,Cidade A,Comercial,Poliéster,35,21770,117
2019,Q1,Cidade A,Comercial,Couro,50,45200,111
2019,Q1,Cidade A,Comercial,Areia,11,6061,125
2019,Q1,Cidade A,Industrial,Barra Metal,42,18270,199
2019,Q1,Cidade A,Industrial,Madeira,97,87882,89
2019,Q1,Cidade A,Industrial,Pedra Britada,38,14516,137
2019,Q1,Cidade A,Industrial,Fio Algodão,58,34916,179
2019,Q1,Cidade A,Industrial,Cimento,16,4560,87
2019,Q1,Cidade A,Industrial,Tecido,65,44135,57
2019,Q1,Cidade A,Industrial,Papel,75,65775,175
2019,Q1,Cidade A,Industrial,Poliéster,59,18054,180
2019,Q1,Cidade A,Industrial,Couro,42,13608,90
2019,Q1,Cidade A,Industrial,Areia,70,14630,77
2019,Q1,Cidade B,Residencial,Barra Metal,26,15938,83
2019,Q1,Cidade B,Residencial,Madeira,66,26730,115
2019,Q1,Cidade B,Residencial,Pedra Britada,60,28500,161
2019,Q1,Cidade B,Residencial,Fio Algodão,68,57528,160
2019,Q1,Cidade B,Residencial,Cimento,48,43872,120
2019,Q1,Cidade B,Residencial,Tecido,98,33614,188
2019,Q1,Cidade B,Residencial,Papel,65,35685,106
2019,Q1,Cidade B,Residencial,Poliéster,82,65518,190
2019,Q1,Cidade B,Residencial,Couro,28,15960,141
2019,Q1,Cidade B,Residencial,Areia,39,19344,72
2019,Q1,Cidade B,Comercial,Barra Metal,33,31977,118
2019,Q1,Cidade B,Comercial,Madeira,93,28737,84
2019,Q1,Cidade B,Comercial,Pedra Britada,55,21230,89
2019,Q1,Cidade B,Comercial,Fio Algodão,81,38475,129
2019,Q1,Cidade B,Comercial,Cimento,90,81720,179
2019,Q1,Cidade B,Comercial,Tecido,75,61125,88
2019,Q1,Cidade B,Comercial,Papel,95,58140,180
2019,Q1,Cidade B,Comercial,Poliéster,75,71100,63
2019,Q1,Cidade B,Comercial,Couro,81,35559,128
2019,Q1,Cidade B,Comercial,Areia,51,48501,149
2019,Q1,Cidade B,Industrial,Barra Metal,38,20178,180
2019,Q1,Cidade B,Industrial,Madeira,17,13277,189
2019,Q1,Cidade B,Industrial,Pedra Britada,57,6441,146
2019,Q1,Cidade B,Industrial,Fio Algodão,28,5376,194
2019,Q1,Cidade B,Industrial,Cimento,40,29960,91
2019,Q1,Cidade B,Industrial,Tecido,24,22728,69
